,artist_name,artist_popularity,artist_id,track_name,track_popularity,track_duration_ms,track_id,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Recogelo,50,171282,1VDSBoi7eGLGxh10nVHUfN,4v25w5u9JmarAGjE3jcByx,0.603,0.758,0,-4.98,0,0.393,0.297,0.00924,0.0833,0.571,155.77,audio_features,1VDSBoi7eGLGxh10nVHUfN,spotify:track:1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/tracks/1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/audio-analysis/1VDSBoi7eGLGxh10nVHUfN,171282,5
1,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Recogelo,50,171282,1VDSBoi7eGLGxh10nVHUfN,4v25w5u9JmarAGjE3jcByx,0.603,0.758,0,-4.98,0,0.393,0.297,0.00924,0.0833,0.571,155.77,audio_features,1VDSBoi7eGLGxh10nVHUfN,spotify:track:1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/tracks/1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/audio-analysis/1VDSBoi7eGLGxh10nVHUfN,171282,5
2,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Recogelo,50,171282,1VDSBoi7eGLGxh10nVHUfN,4v25w5u9JmarAGjE3jcByx,0.603,0.758,0,-4.98,0,0.393,0.297,0.00924,0.0833,0.571,155.77,audio_features,1VDSBoi7eGLGxh10nVHUfN,spotify:track:1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/tracks/1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/audio-analysis/1VDSBoi7eGLGxh10nVHUfN,171282,5
3,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Recogelo,50,171282,1VDSBoi7eGLGxh10nVHUfN,4v25w5u9JmarAGjE3jcByx,0.603,0.758,0,-4.98,0,0.393,0.297,0.00924,0.0833,0.571,155.77,audio_features,1VDSBoi7eGLGxh10nVHUfN,spotify:track:1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/tracks/1VDSBoi7eGLGxh10nVHUfN,https://api.spotify.com/v1/audio-analysis/1VDSBoi7eGLGxh10nVHUfN,171282,5
4,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Un Dia Si,50,164307,5qRhzFjGqvJN9RSQRFV2J2,4v25w5u9JmarAGjE3jcByx,0.859,0.663,1,-4.247,0,0.182,0.0932,3.04e-06,0.251,0.622,154.978,audio_features,5qRhzFjGqvJN9RSQRFV2J2,spotify:track:5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/tracks/5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/audio-analysis/5qRhzFjGqvJN9RSQRFV2J2,164308,4
5,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Un Dia Si,50,164307,5qRhzFjGqvJN9RSQRFV2J2,4v25w5u9JmarAGjE3jcByx,0.859,0.663,1,-4.247,0,0.182,0.0932,3.04e-06,0.251,0.622,154.978,audio_features,5qRhzFjGqvJN9RSQRFV2J2,spotify:track:5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/tracks/5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/audio-analysis/5qRhzFjGqvJN9RSQRFV2J2,164308,4
6,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Un Dia Si,50,164307,5qRhzFjGqvJN9RSQRFV2J2,4v25w5u9JmarAGjE3jcByx,0.859,0.663,1,-4.247,0,0.182,0.0932,3.04e-06,0.251,0.622,154.978,audio_features,5qRhzFjGqvJN9RSQRFV2J2,spotify:track:5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/tracks/5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/audio-analysis/5qRhzFjGqvJN9RSQRFV2J2,164308,4
7,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Un Dia Si,50,164307,5qRhzFjGqvJN9RSQRFV2J2,4v25w5u9JmarAGjE3jcByx,0.859,0.663,1,-4.247,0,0.182,0.0932,3.04e-06,0.251,0.622,154.978,audio_features,5qRhzFjGqvJN9RSQRFV2J2,spotify:track:5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/tracks/5qRhzFjGqvJN9RSQRFV2J2,https://api.spotify.com/v1/audio-analysis/5qRhzFjGqvJN9RSQRFV2J2,164308,4
8,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Singapur,68,178407,4QfZYDhGZc0T2RDvGiI69E,4v25w5u9JmarAGjE3jcByx,0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,audio_features,4QfZYDhGZc0T2RDvGiI69E,spotify:track:4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/tracks/4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/audio-analysis/4QfZYDhGZc0T2RDvGiI69E,178407,4
9,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Singapur,68,178407,4QfZYDhGZc0T2RDvGiI69E,4v25w5u9JmarAGjE3jcByx,0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,audio_features,4QfZYDhGZc0T2RDvGiI69E,spotify:track:4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/tracks/4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/audio-analysis/4QfZYDhGZc0T2RDvGiI69E,178407,4
10,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Singapur,68,178407,4QfZYDhGZc0T2RDvGiI69E,4v25w5u9JmarAGjE3jcByx,0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,audio_features,4QfZYDhGZc0T2RDvGiI69E,spotify:track:4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/tracks/4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/audio-analysis/4QfZYDhGZc0T2RDvGiI69E,178407,4
11,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Singapur,68,178407,4QfZYDhGZc0T2RDvGiI69E,4v25w5u9JmarAGjE3jcByx,0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,audio_features,4QfZYDhGZc0T2RDvGiI69E,spotify:track:4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/tracks/4QfZYDhGZc0T2RDvGiI69E,https://api.spotify.com/v1/audio-analysis/4QfZYDhGZc0T2RDvGiI69E,178407,4
12,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Me Enamore,41,229915,05tNrQNICAOfX8ohVpfkBb,4v25w5u9JmarAGjE3jcByx,0.79,0.453,2,-8.238,1,0.121,0.139,0.0,0.108,0.0997,119.018,audio_features,05tNrQNICAOfX8ohVpfkBb,spotify:track:05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/tracks/05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/audio-analysis/05tNrQNICAOfX8ohVpfkBb,229916,4
13,El Alfa,80,2oQX8QiMXOyuqbcZEFsZfm,Me Enamore,41,229915,05tNrQNICAOfX8ohVpfkBb,4v25w5u9JmarAGjE3jcByx,0.79,0.453,2,-8.238,1,0.121,0.139,0.0,0.108,0.0997,119.018,audio_features,05tNrQNICAOfX8ohVpfkBb,spotify:track:05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/tracks/05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/audio-analysis/05tNrQNICAOfX8ohVpfkBb,229916,4
14,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Me Enamore,41,229915,05tNrQNICAOfX8ohVpfkBb,4v25w5u9JmarAGjE3jcByx,0.79,0.453,2,-8.238,1,0.121,0.139,0.0,0.108,0.0997,119.018,audio_features,05tNrQNICAOfX8ohVpfkBb,spotify:track:05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/tracks/05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/audio-analysis/05tNrQNICAOfX8ohVpfkBb,229916,4
15,Doble T & El Crok,33,3Anf3i96TXH6hfimL1F6MY,Me Enamore,41,229915,05tNrQNICAOfX8ohVpfkBb,4v25w5u9JmarAGjE3jcByx,0.79,0.453,2,-8.238,1,0.121,0.139,0.0,0.108,0.0997,119.018,audio_features,05tNrQNICAOfX8ohVpfkBb,spotify:track:05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/tracks/05tNrQNICAOfX8ohVpfkBb,https://api.spotify.com/v1/audio-analysis/05tNrQNICAOfX8ohVpfkBb,229916,4
