,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
0,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Que Calor (feat. J Balvin & El Alfa),78,169997,1RKZvaLj3UPhGjZkaIrFm7
1,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Coronao Now,80,217881,7FbKipScVxkjQxQXwTd0gL
2,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,La Romana,79,300579,1khmgu0pveJbkbpbkyvcQv
3,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,badwine - Extended Remix,68,248160,44DCGBt8P6iZPd0RRsZiMw
4,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Dembow y Reggaeton,65,249743,0BvhrGwe5MtFFf9gMIeWbp
5,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Imagínate,67,317000,0a41S6Hf3njfUbQTZyxWDq
6,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Suave (Remix),67,305526,4phvdPGXE8MGXsTBhqB5ht
7,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Pa Jamaica (Remix),57,304871,2joDqfk2o1beVXlyaX2NoZ
8,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Me da Lo Mismo,53,225000,2qcMnJuHT2fJgGopinP3zL
9,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Mueve la Cadera,65,195250,5uAe6AXcN2SEOcOAy0Txkh
10,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Electricidad,50,192913,7iF7wJCFOIQOqghP7r94fe
11,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Prendi,47,205893,38FFVJJUFMn0D5jS2H32FH
12,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Cuando Yo Era Chiquito,46,204893,1UyXp5HSKNrSI55lm55gZ1
13,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Versace - Remix,39,359074,4y4SfmkcTnFYClU3xhXgrD
14,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,En Colale,31,197320,2z3D2gLbtXPkyLz2cdkFFd
15,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Abanico,38,197510,71pehRVEU19NHe07v0ZM7C
