,artist,artist_pop,artist_id,song,song_pop,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Que Calor (feat. J Balvin & El Alfa),78,1RKZvaLj3UPhGjZkaIrFm7,0.795,0.885,8,-4.13,1,0.0713,0.0375,0.006379999999999999,0.292,0.46,126.037,169998,4
1,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Coronao Now,80,7FbKipScVxkjQxQXwTd0gL,0.941,0.7290000000000001,6,-7.56,0,0.24600000000000002,0.146,0.00451,0.18,0.718,118.02600000000001,217881,4
2,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,La Romana,79,1khmgu0pveJbkbpbkyvcQv,0.655,0.725,0,-5.497000000000001,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,300579,4
3,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,badwine - Extended Remix,68,44DCGBt8P6iZPd0RRsZiMw,0.7659999999999999,0.763,1,-5.702000000000001,1,0.205,0.376,0.000176,0.1,0.732,186.00400000000002,248160,4
4,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Dembow y Reggaeton,65,0BvhrGwe5MtFFf9gMIeWbp,0.898,0.89,5,-2.155,1,0.0599,0.38,0.0622,0.171,0.672,117.064,249744,4
5,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Imagínate,67,0a41S6Hf3njfUbQTZyxWDq,0.568,0.846,0,-3.7939999999999996,1,0.27,0.17300000000000001,1.61e-06,0.136,0.568,149.07,317000,5
6,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Suave (Remix),67,4phvdPGXE8MGXsTBhqB5ht,0.875,0.909,9,-3.5580000000000003,1,0.076,0.14,0.00185,0.0616,0.524,119.999,305526,4
7,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Pa Jamaica (Remix),57,2joDqfk2o1beVXlyaX2NoZ,0.857,0.981,11,-1.9680000000000002,0,0.0519,0.18899999999999997,0.00164,0.6920000000000001,0.91,116.994,304872,4
8,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Me da Lo Mismo,53,2qcMnJuHT2fJgGopinP3zL,0.8240000000000001,0.85,0,-3.614,0,0.0521,0.0442,2.53e-06,0.111,0.769,96.005,225000,4
9,El Alfa,83,2oQX8QiMXOyuqbcZEFsZfm,Mueve la Cadera,65,5uAe6AXcN2SEOcOAy0Txkh,0.946,0.9079999999999999,7,-6.233,1,0.0826,0.113,0.17300000000000001,0.544,0.449,119.96799999999999,195250,4
10,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Electricidad,50,7iF7wJCFOIQOqghP7r94fe,0.86,0.835,9,-2.536,1,0.215,0.0441,1.69e-06,0.0831,0.34600000000000003,125.167,192913,4
11,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Prendi,47,38FFVJJUFMn0D5jS2H32FH,0.8340000000000001,0.925,6,-1.7830000000000001,0,0.0707,0.5529999999999999,0.0152,0.23399999999999999,0.7979999999999999,117.98700000000001,205893,4
12,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Cuando Yo Era Chiquito,46,1UyXp5HSKNrSI55lm55gZ1,0.872,0.868,11,-5.207999999999999,1,0.0638,0.0193,4.87e-06,0.0707,0.7140000000000001,111.928,204893,4
13,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Versace - Remix,39,4y4SfmkcTnFYClU3xhXgrD,0.865,0.94,2,-0.479,1,0.153,0.105,1.85e-06,0.5529999999999999,0.616,100.031,359075,4
14,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,En Colale,31,2z3D2gLbtXPkyLz2cdkFFd,0.807,0.9470000000000001,11,-1.232,0,0.292,0.239,1.57e-06,0.10300000000000001,0.601,118.084,197320,4
15,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Abanico,38,71pehRVEU19NHe07v0ZM7C,0.821,0.9359999999999999,6,-3.1630000000000003,1,0.0893,0.11900000000000001,1.17e-06,0.299,0.836,119.964,197511,4
16,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Correazo,38,4umcAU9DuUctlImkcPATuB,0.91,0.934,6,-3.532,1,0.0572,0.0875,0.0545,0.0717,0.903,111.99600000000001,251349,4
17,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Cachonda,37,3sGY8FbKKOs222Bvi7Vyv4,0.774,0.885,7,-3.7760000000000002,1,0.0791,0.062,4.82e-06,0.0592,0.927,164.128,187196,4
18,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Los Niños Malos,28,3qwYgeqpDEsQdHgCpDqYty,0.7909999999999999,0.882,10,-3.139,0,0.063,0.138,6.64e-06,0.594,0.527,120.10700000000001,183040,4
19,El Mayor Clasico,53,5sZ0LIk7BJLJquEUUt5rJj,Vibrador,32,5FUe8JnbAljSJ48IrRXdvJ,0.685,0.883,7,-3.533,1,0.213,0.19899999999999998,0.0,0.419,0.34,124.545,183959,4
20,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Limonada Coco - Remix,53,69I3KzUSur7pT3p8z7jhk5,0.894,0.723,11,-5.61,0,0.0917,0.24600000000000002,0.00475,0.15,0.48700000000000004,116.00299999999999,216816,4
21,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Bum Bam Ven - Remix,52,41ezMG36bvrbJaJpvlbDFf,0.9129999999999999,0.86,1,-1.383,1,0.131,0.25,0.000226,0.261,0.736,120.022,230000,4
22,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Solo Te Veo - Remix,47,7rTsnvxE2Del41TkzwAlbf,0.882,0.8140000000000001,0,-5.471,0,0.0849,0.0429,0.0006730000000000001,0.435,0.855,122.962,239394,4
23,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Cabecea,45,5WvRLpBKheIwhUbVTVlUz6,0.5920000000000001,0.7859999999999999,10,-4.471,0,0.39,0.445,0.0,0.111,0.72,175.24599999999998,289728,4
24,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,No Lo Vendo - Remix,44,5ldrlXHvzAb1oBgbQJa4bk,0.8009999999999999,0.785,6,-3.895,1,0.34299999999999997,0.267,0.0,0.0647,0.902,97.82799999999999,279184,4
25,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Fufu Papa,44,3m7vxaQ2h9z94Rq4OjVift,0.8690000000000001,0.919,8,-2.417,1,0.223,0.221,0.000354,0.22,0.5489999999999999,123.99700000000001,212903,4
26,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Idioma Raro,42,4wef3k6kgDG8tkkvjebJip,0.8340000000000001,0.595,1,-2.721,1,0.313,0.106,0.0,0.24,0.466,104.906,212911,4
27,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Cuchicheo,40,6HpPSy0xVGAmS4xHtG4L4j,0.937,0.7979999999999999,7,-2.573,1,0.29100000000000004,0.006370000000000001,0.000587,0.11900000000000001,0.183,124.00399999999999,208927,4
28,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Mueveme Ese Culo (feat. Breyco En Producidera),39,4Sl2yHC6YUu4yOhHSooSkD,0.867,0.754,11,-3.1430000000000002,1,0.365,0.203,0.0,0.0408,0.5820000000000001,108.006,196153,4
29,Lapiz Conciente,57,0UTsdD7VIsEB9i7a6DDx5t,Yo No Te Quiero Perder,39,3yaNgCPIMrJ1SNBlt6mewz,0.541,0.8240000000000001,6,-4.7589999999999995,1,0.5670000000000001,0.6809999999999999,0.0,0.207,0.735,77.154,274887,4
30,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Baby,75,2IA8cFA46DkjgbsRG7kKbp,0.7,0.71,11,-4.835,1,0.0532,0.327,0.0,0.129,0.5820000000000001,167.97099999999998,235973,4
31,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Desierto,74,4NLcgBskZkUYgpAVQF0sNI,0.7340000000000001,0.583,11,-11.764000000000001,0,0.0414,0.0867,0.259,0.0979,0.14400000000000002,105.01299999999999,224698,4
32,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Solo,70,6kTMnty169llVx9sGHb6LD,0.637,0.513,11,-6.846,0,0.28300000000000003,0.3,0.000571,0.0981,0.27,196.088,231909,4
33,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,No Tenemos Nada,68,6UGc9l0tpk1xSx9KV2fOVf,0.5760000000000001,0.8059999999999999,8,-4.678,1,0.147,0.5820000000000001,1.85e-06,0.0758,0.924,126.495,204277,5
34,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Dios Bendiga (Remix),65,4S8wmEZy12C5UJUU0IQUee,0.76,0.838,6,-4.3469999999999995,0,0.051,0.39,0.0,0.166,0.863,159.938,241504,4
35,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Champagne Rose,63,2YfOp1cJeaPwJCKe0gjo7y,0.654,0.733,9,-4.127,1,0.0705,0.59,3.48e-06,0.0751,0.45,140.005,281653,4
36,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Nadie Muere De Amor,62,1PeolWTkf6eq3K3qMXTkkN,0.691,0.835,6,-4.495,0,0.0747,0.0412,0.000197,0.41100000000000003,0.67,169.975,242000,4
37,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Solo - Remix,55,3He16IbDCweYwKPIa9jbNS,0.748,0.532,2,-7.157,1,0.132,0.389,0.0,0.06,0.369,98.038,245987,4
38,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Nadie Como Tu,58,14Q3OrXMvSTCJvqeSNXovU,0.6940000000000001,0.8420000000000001,2,-4.91,1,0.0624,0.147,1.05e-06,0.261,0.753,105.02,177328,4
39,Amenazzy,73,6kq4GHwUcUojGIu0ziSNXf,Imaginándote Oe Oa,36,3weZ9EdNe4qXlK4A23PxBH,0.746,0.733,0,-5.336,1,0.0391,0.0497,3.46e-05,0.0387,0.56,97.03399999999999,175670,4
40,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,No Me Controles,36,0xqs2fssv31FOsKQjO5EhF,0.8690000000000001,0.846,7,-8.993,1,0.0556,0.474,0.0,0.0775,0.963,129.97,206191,4
41,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Te Quiero,36,0wiR7y1blI3vmrwvhLkYsx,0.736,0.623,0,-7.59,1,0.0467,0.047,1.07e-06,0.106,0.642,149.98,259587,4
42,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Tu Pai,35,3CceXZxUn3u2E1kyJvN5fb,0.7490000000000001,0.818,3,-3.219,0,0.0467,0.183,4.6200000000000005e-05,0.0479,0.8270000000000001,97.978,150649,4
43,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Capea el Dough 2k14,35,7kIP60tCZ6XlAtSbJjGlhU,0.735,0.78,0,-6.154,1,0.381,0.337,0.0,0.349,0.826,98.057,707595,4
44,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Capea El Dough 2k17,33,3SOY1DKorxsNPreFiuPwZ1,0.769,0.86,0,-3.341,1,0.375,0.345,0.0,0.65,0.833,98.044,370338,4
45,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Los Zapatos,29,2QebSAWmxv8gw0BvOqQPFv,0.659,0.87,5,-3.937,0,0.0287,0.0313,0.0,0.109,0.619,145.95600000000002,187427,4
46,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Que Mujer Tan Chula,29,0JNO59NigOfHWQQAClzAEs,0.767,0.7020000000000001,11,-5.3629999999999995,0,0.0372,0.0165,0.0,0.0616,0.983,115.962,210963,4
47,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Se Partio el Lapiz,28,1VAJTs96cC8332LtN3i5vA,0.6779999999999999,0.872,7,-4.908,1,0.264,0.0378,0.0,0.145,0.9520000000000001,95.061,259533,4
48,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Una Vaina Loca (Remix),26,1r1JsyDxWgMo9jE3dJcirm,0.805,0.848,1,-5.849,1,0.0474,0.0342,2.43e-06,0.316,0.584,117.01,294827,4
49,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Demasiado,26,3Rych4r0vBVbsqkR2kkKEi,0.7240000000000001,0.912,4,-2.6639999999999997,0,0.0432,0.19,0.000281,0.312,0.955,127.969,229320,4
50,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,La Chapa Que Vibran - Remix,52,6fmVrh7XQ0KD69AOufNMUL,0.8690000000000001,0.805,1,-6.757000000000001,1,0.11599999999999999,0.00496,0.0,0.0291,0.762,128.08700000000002,203493,4
51,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,La Chapa Que Vibran,45,6cFckWKvl4IrBmRZI995kG,0.665,0.924,1,-2.577,1,0.198,0.319,1.52e-05,0.0938,0.6679999999999999,126.485,215301,4
52,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Machucando,41,6R8PlLgNFv8WysXspoTmTR,0.887,0.792,6,-1.775,0,0.304,0.163,3.31e-06,0.0787,0.506,90.738,234453,3
53,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Como Me Lo Hace,41,5nUJPQreW88E30aHM2HHm7,0.6559999999999999,0.716,5,-3.9589999999999996,0,0.495,0.10400000000000001,6.77e-06,0.0824,0.606,185.85,200652,4
54,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Taka Taka,39,0LlWBlBmg2OOibYOnF9Dm0,0.865,0.914,2,-3.81,1,0.0459,0.26899999999999996,0.000462,0.174,0.706,115.015,152660,4
55,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Te Lo Compre,36,5lhPjPAJ2eETbkSBziCRWs,0.816,0.917,8,-3.28,0,0.0503,0.0567,5.539999999999999e-05,0.885,0.9640000000000001,122.01700000000001,200725,4
56,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Click Clock,33,3hDD5EhhH9bxXEEuwsyQT8,0.86,0.8009999999999999,7,-4.758,1,0.183,0.0189,0.0109,0.344,0.45399999999999996,109.039,171442,4
57,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Nunca Maniqui,29,0PHsVUWTCuSy3t8r4sm4OV,0.8390000000000001,0.77,3,-3.696,0,0.107,0.262,2.4100000000000003e-05,0.355,0.44,135.023,225816,4
58,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Dominicana,29,07BugovfF5V3Bd2nsDxmVa,0.851,0.718,0,-6.74,0,0.225,0.193,0.00112,0.0713,0.642,104.921,172385,4
